Building ID,Exposed value (€),Impact value (m),Damage fraction,Consequences value (€),Hazard scenario
6246202VP3164E,13023878.432,0.7304999828338623,0.24106499433517456,3139601.180432082,flood_2100_tr500_chiqui
6447801VP3164E,46683016.993,1.400647107292624,0.46221354540656595,21577522.794609495,flood_2100_tr500_chiqui
6447802VP3164E,16276292.93,0.5777499675750732,0.1906574892997742,3103197.145141465,flood_2100_tr500_chiqui
6447803VP3164E,12184970.59,0.983666737874349,0.3246100234985352,3955363.58954886,flood_2100_tr500_chiqui
6447804VP3164E,4465319.774,1.0110000371932983,0.33363001227378847,1489764.6910060104,flood_2100_tr500_chiqui
6447805VP3164E,8255814.672,1.4919999440511067,0.4923599815368652,4064832.759477701,flood_2100_tr500_chiqui
